Vendor Name,Data Classification,Register Risk Level,Computed Risk Level,Risk Score,Adjusted Risk Level,Finding,Finding Category,SOC 2 (TSC),ISO 27001:2022 Annex A,NIST CSF 2.0,Status,Identified Date,Due Date,SLA Due Date,Days Past Due,Aging Bucket,Remediation Owner,Review Reason
InvoicePro,Confidential,Critical,Critical,9,Critical,MFA unavailable for standard admin accounts,access-control-mfa,CC6.1,A.5.17; A.8.5,PR.AA-03,Open,2026-07-26,2026-08-10,2026-08-10,15,0-30 days,Finance Systems,Critical risk; Open finding (Open); Overdue remediation (15 days); Control not in place: MFA
FileShareCo,Restricted,High,High,6,Critical,External sharing controls not reviewed this year,data-sharing-controls,CC6.7,A.5.14,PR.DS-02,Open,2026-07-28,2026-08-12,2026-08-12,13,0-30 days,IT Operations,Critical risk (escalated from High — Restricted data); Open finding (Open); Overdue remediation (13 days)
CloudPay,Restricted,High,High,6,Critical,MFA not enforced for all privileged support accounts,access-control-mfa,CC6.1,A.5.17; A.8.5,PR.AA-03,Open,2026-07-06,2026-08-15,2026-07-21,10,0-30 days,Vendor Security,Critical risk (escalated from High — Restricted data); Open finding (Open); Overdue remediation (10 days); SLA breach: due date exceeds Critical SLA of 15 days by 25 days
BackupSafe,Restricted,High,High,6,Critical,Business continuity test evidence not provided,business-continuity-testing,A1.3,A.5.30,ID.IM-02,In Progress,2026-07-14,2026-08-18,2026-07-29,7,0-30 days,IT Operations,Critical risk (escalated from High — Restricted data); Open finding (In Progress); Overdue remediation (7 days); SLA breach: due date exceeds Critical SLA of 15 days by 20 days
ChatAssist,Confidential,Critical,Critical,9,Critical,Data retention and model-training use not documented,data-retention-privacy,P4.2; CC9.2; CC6.7,A.5.34; A.5.22; A.8.24,GV.SC-05; GV.SC-07; PR.DS-01,Open,2026-08-10,2026-08-25,2026-08-25,0,Not yet due,Customer Operations,Critical risk; Open finding (Open); Due within 14 days; Control not in place: SOC 2; Evidence not provided: Encryption
DataLakeX,Confidential,High,High,6,High,Penetration test is older than 18 months,vulnerability-testing-stale,CC7.1,A.8.8,ID.RA-01,Open,2026-07-21,2026-08-20,2026-08-20,5,0-30 days,Data Engineering,High risk; Open finding (Open); Overdue remediation (5 days)
HelpDeskNow,Confidential,Medium,Medium,4,Medium,No documented annual access review evidence,access-review-evidence,CC6.3,A.5.18,PR.AA-05,In Progress,2026-07-17,2026-09-15,2026-09-15,0,Not yet due,Customer Operations,Open finding (In Progress)
MarketFlow,Internal,Medium,Medium,4,Medium,SOC 2 report not provided,assurance-report-missing,CC9.2,A.5.22,GV.SC-07,Open,2026-07-07,2026-09-05,2026-09-05,0,Not yet due,Marketing Operations,Open finding (Open); Due within 14 days; Control not in place: SOC 2
RecruitCloud,Confidential,Medium,Medium,4,Medium,Security questionnaire incomplete,due-diligence-incomplete,CC9.2,A.5.19; A.5.22,GV.SC-06; GV.SC-07,Open,2026-07-03,2026-09-01,2026-09-01,0,Not yet due,Talent Operations,Open finding (Open); Due within 14 days; Control not in place: SOC 2
SurveySpark,Internal,Low,Low,2,Low,Vendor has no independent assurance report,assurance-report-missing,CC9.2,A.5.22,GV.SC-07,Open,2026-07-03,2026-10-01,2026-10-01,0,Not yet due,Marketing Operations,Open finding (Open); Control not in place: SOC 2
